2023-03-27 21:07:55,818 INFO [root] [base.py (__init__:12] - 初始化driver：<selenium.webdriver.edge.webdriver.WebDriver (session="b0c258969ead0e960e18eee29f54d791")>
2023-03-27 21:07:55,819 INFO [root] [base.py (base_click:30] - 点击元素：('partial link text', '登录')
2023-03-27 21:07:55,819 INFO [root] [base.py (base_find_element:17] - 正在查找元素：('partial link text', '登录')
2023-03-27 21:07:55,884 INFO [root] [base.py (base_input:35] - 导入元素：('id', 'username')
2023-03-27 21:07:55,884 INFO [root] [base.py (base_find_element:17] - 正在查找元素：('id', 'username')
2023-03-27 21:08:26,426 INFO [root] [base.py (base_input:35] - 导入元素：('id', 'username')
2023-03-27 21:08:26,427 INFO [root] [base.py (base_find_element:17] - 正在查找元素：('id', 'username')
2023-03-27 21:08:56,862 INFO [root] [base.py (base_input:35] - 导入元素：('id', 'username')
2023-03-27 21:08:56,863 INFO [root] [base.py (base_find_element:17] - 正在查找元素：('id', 'username')
2023-03-27 21:09:06,320 INFO [root] [base.py (base_input:35] - 导入元素：('id', 'username')
2023-03-27 21:09:06,320 INFO [root] [base.py (base_find_element:17] - 正在查找元素：('id', 'username')
2023-03-27 21:09:06,323 INFO [root] [base.py (base_input:35] - 导入元素：('id', 'username')
2023-03-27 21:09:06,323 INFO [root] [base.py (base_find_element:17] - 正在查找元素：('id', 'username')
2023-03-27 21:09:06,330 INFO [root] [base.py (base_input:35] - 导入元素：('id', 'username')
2023-03-27 21:09:06,330 INFO [root] [base.py (base_find_element:17] - 正在查找元素：('id', 'username')
